,dateRep,cases,deaths,countriesAndTerritories,geoId,popData2019,continentExp,Cumulative_number_for_14_days_of_COVID-19_cases_per_100000,Cum_Cases,Cum_Deaths,flag,driving,transit,walking,Bar,Cafe,Restaurant,Sewing,DIY,Homeschooling,Home_Workout,Tests per 1000 (7DA),deaths18,cases7
166,2020-01-25,0,0,United_Kingdom,UK,66647112.0,Europe,0.0,0,0,0.0,111.13,118.64,165.49,92,57,67,34,46,5,5,0.0,0.0,2.0
169,2020-01-26,0,0,United_Kingdom,UK,66647112.0,Europe,0.0,0,0,0.0,95.33,100.95,97.84,74,55,53,33,47,7,13,0.0,0.0,0.0
190,2020-01-27,0,0,United_Kingdom,UK,66647112.0,Europe,0.0,0,0,0.0,101.81,103.81,104.79,73,45,48,28,41,8,3,0.0,0.0,0.0
195,2020-01-28,0,0,United_Kingdom,UK,66647112.0,Europe,0.0,0,0,0.0,105.64,105.67,113.53,71,43,46,29,33,7,10,0.0,0.0,0.0
211,2020-01-29,0,0,United_Kingdom,UK,66647112.0,Europe,0.0,0,0,0.0,106.97,109.06,122.36,71,43,45,30,35,11,7,0.0,0.0,1.0
232,2020-01-30,0,0,United_Kingdom,UK,66647112.0,Europe,0.0,0,0,0.0,105.43,108.51,119.75,75,42,47,29,34,9,9,0.0,0.0,0.0
238,2020-01-31,0,0,United_Kingdom,UK,66647112.0,Europe,0.0,0,0,0.0,114.55,118.03,143.62,78,45,50,32,33,7,7,0.0,0.0,1.0
256,2020-02-01,2,0,United_Kingdom,UK,66647112.0,Europe,0.00300088,2,0,0.0,112.34,119.31,169.08,87,59,63,34,43,6,8,0.0,0.0,0.0
269,2020-02-02,0,0,United_Kingdom,UK,66647112.0,Europe,0.00300088,2,0,0.0,96.88,105.44,103.22,81,61,53,37,45,9,10,0.0,0.0,0.0
283,2020-02-03,0,0,United_Kingdom,UK,66647112.0,Europe,0.00300088,2,0,0.0,100.79,104.05,106.76,72,47,48,29,38,8,11,0.0,0.0,4.0
298,2020-02-04,0,0,United_Kingdom,UK,66647112.0,Europe,0.00300088,2,0,0.0,106.62,106.8,115.85,75,48,48,26,34,10,8,0.0,0.0,1.0
302,2020-02-05,1,0,United_Kingdom,UK,66647112.0,Europe,0.00450132,3,0,0.0,107.82,109.37,124.21,78,49,49,33,34,10,8,0.0,0.0,0.0
315,2020-02-06,0,0,United_Kingdom,UK,66647112.0,Europe,0.00450132,3,0,0.0,107.32,108.48,123.83,80,49,50,30,32,6,7,0.0,0.0,1.0
330,2020-02-07,1,0,United_Kingdom,UK,66647112.0,Europe,0.00600176,4,0,0.0,114.77,116.15,142.03,81,48,54,30,36,5,6,0.0,0.0,0.0
349,2020-02-08,0,0,United_Kingdom,UK,66647112.0,Europe,0.00600176,4,0,0.0,111.59,122.06,169.55,95,56,64,32,45,6,4,0.0,0.0,0.0
351,2020-02-09,0,0,United_Kingdom,UK,66647112.0,Europe,0.00600176,4,0,0.0,95.17,100.52,79.14,75,52,53,32,44,6,12,0.0,0.0,0.0
376,2020-02-10,4,0,United_Kingdom,UK,66647112.0,Europe,0.01200352,8,0,0.0,108.75,106.76,101.55,74,50,51,32,36,8,6,0.0,0.0,0.0
389,2020-02-11,1,0,United_Kingdom,UK,66647112.0,Europe,0.01350396,9,0,0.0,108.02,107.86,111.72,78,42,52,32,36,9,8,0.0,0.0,0.0
390,2020-02-12,0,0,United_Kingdom,UK,66647112.0,Europe,0.01350396,9,0,0.0,108.95,110.08,122.43,75,48,54,29,41,6,6,0.0,0.0,0.0
408,2020-02-13,1,0,United_Kingdom,UK,66647112.0,Europe,0.015004399999999998,10,0,0.0,109.78,107.83,120.97,77,45,56,29,39,7,8,0.0,0.0,0.0
425,2020-02-14,0,0,United_Kingdom,UK,66647112.0,Europe,0.015004399999999998,10,0,0.0,119.65,117.79,153.72,82,50,67,31,32,8,6,0.0,0.0,0.0
435,2020-02-15,0,0,United_Kingdom,UK,66647112.0,Europe,0.01200352,10,0,0.0,109.55,119.0,152.82,87,57,65,37,45,5,6,0.0,0.0,0.0
446,2020-02-16,0,0,United_Kingdom,UK,66647112.0,Europe,0.01200352,10,0,0.0,101.42,109.71,98.69,75,59,55,35,43,6,9,0.0,0.0,1.0
464,2020-02-17,0,0,United_Kingdom,UK,66647112.0,Europe,0.01200352,10,0,0.0,118.6,119.36,128.1,80,59,53,32,38,4,10,0.0,0.0,0.0
480,2020-02-18,0,0,United_Kingdom,UK,66647112.0,Europe,0.01200352,10,0,0.0,119.26,118.76,130.01,76,54,54,30,39,5,11,0.0,1.0,0.0
486,2020-02-19,0,0,United_Kingdom,UK,66647112.0,Europe,0.01050308,10,0,0.0,121.56,121.93,136.18,77,57,51,34,51,7,8,0.0,1.0,2.0
496,2020-02-20,0,0,United_Kingdom,UK,66647112.0,Europe,0.01050308,10,0,0.0,118.33,118.81,131.67,92,51,51,28,39,4,10,0.0,0.0,5.0
510,2020-02-21,0,0,United_Kingdom,UK,66647112.0,Europe,0.00900264,10,0,0.0,127.35,126.56,152.89,88,59,57,34,40,7,5,0.0,1.0,4.0
522,2020-02-22,0,0,United_Kingdom,UK,66647112.0,Europe,0.00900264,10,0,0.0,115.64,126.9,169.46,89,60,65,36,41,4,7,0.0,4.0,8.0
545,2020-02-23,1,0,United_Kingdom,UK,66647112.0,Europe,0.01050308,11,0,0.0,101.34,105.46,101.08,76,58,49,33,46,8,7,0.0,0.0,12.0
550,2020-02-24,0,0,United_Kingdom,UK,66647112.0,Europe,0.00450132,11,0,0.0,108.75,107.92,104.26,72,42,42,32,37,9,8,0.0,2.0,5.0
564,2020-02-25,0,0,United_Kingdom,UK,66647112.0,Europe,0.00300088,11,0,0.0,108.16,108.13,115.57,72,42,42,32,38,11,10,0.0,1.0,22.0
580,2020-02-26,2,0,United_Kingdom,UK,66647112.0,Europe,0.00600176,13,0,0.0,109.74,108.85,121.26,73,44,44,28,40,9,10,0.0,19.0,40.0
586,2020-02-27,5,0,United_Kingdom,UK,66647112.0,Europe,0.01200352,18,0,0.0,109.6,108.32,119.74,75,46,46,29,36,7,8,0.0,14.0,55.0
603,2020-02-28,4,0,United_Kingdom,UK,66647112.0,Europe,0.01800528,22,0,0.0,122.59,118.5,138.49,84,49,52,28,39,9,3,0.0,22.0,56.0
615,2020-02-29,8,0,United_Kingdom,UK,66647112.0,Europe,0.030008799999999995,30,0,0.0,115.93,118.75,162.75,92,55,63,31,47,7,9,0.0,17.0,51.0
636,2020-03-01,12,0,United_Kingdom,UK,66647112.0,Europe,0.04801408,42,0,0.0,100.48,103.74,105.44,78,60,52,35,48,7,10,0.0,34.0,81.0
648,2020-03-02,5,0,United_Kingdom,UK,66647112.0,Europe,0.05551628,47,0,0.0,104.64,103.96,107.54,70,47,40,31,42,11,8,0.0071081081081081085,46.0,60.0
655,2020-03-03,22,0,United_Kingdom,UK,66647112.0,Europe,0.08852597,69,0,0.0,108.34,105.51,114.84,76,43,44,35,51,12,7,0.014216216216216217,32.0,57.0
664,2020-03-04,40,0,United_Kingdom,UK,66647112.0,Europe,0.14854357,109,0,1.0,109.59,106.1,116.67,71,44,43,28,58,9,9,0.021324324324324326,58.0,148.0
684,2020-03-05,55,0,United_Kingdom,UK,66647112.0,Europe,0.23106778,164,0,2.0,109.18,105.14,110.07,71,43,40,26,43,4,7,0.028432432432432434,36.0,259.0
687,2020-03-06,56,0,United_Kingdom,UK,66647112.0,Europe,0.31509242,220,0,3.0,118.61,114.68,144.51,80,48,47,29,34,8,5,0.035540540540540545,76.0,406.0
702,2020-03-07,51,1,United_Kingdom,UK,66647112.0,Europe,0.39161487,271,1,4.0,115.05,118.05,172.59,85,62,58,30,43,4,6,0.04264864864864865,148.0,484.0
726,2020-03-08,81,1,United_Kingdom,UK,66647112.0,Europe,0.51165008,352,2,5.0,97.9,97.76,101.39,76,56,49,31,48,9,6,0.04975675675675676,191.0,478.0
732,2020-03-09,60,0,United_Kingdom,UK,66647112.0,Europe,0.60167648,412,2,6.0,101.47,99.0,100.87,67,43,40,29,36,8,6,0.05686486486486487,181.0,361.0
753,2020-03-10,57,1,United_Kingdom,UK,66647112.0,Europe,0.68720157,469,3,7.0,102.73,99.54,108.28,65,37,38,30,39,10,9,0.06397297297297298,288.0,442.0
770,2020-03-11,148,4,United_Kingdom,UK,66647112.0,Europe,0.90626583,617,7,8.0,102.32,95.28,111.71,65,40,36,29,34,7,5,0.07108108108108109,292.0,611.0
773,2020-03-12,259,0,United_Kingdom,UK,66647112.0,Europe,1.28737761,876,7,9.0,94.18,86.55,102.65,56,36,32,24,30,10,8,0.0781891891891892,212.0,769.0
800,2020-03-13,406,2,United_Kingdom,UK,66647112.0,Europe,1.89055454,1282,9,10.0,99.62,88.77,117.26,64,37,37,28,34,7,9,0.0852972972972973,374.0,999.0
810,2020-03-14,484,1,United_Kingdom,UK,66647112.0,Europe,2.60476403,1766,10,11.0,94.11,88.31,132.4,73,43,45,30,47,11,11,0.09240540540540541,403.0,1055.0
834,2020-03-15,478,19,United_Kingdom,UK,66647112.0,Europe,3.30396912,2244,29,12.0,76.22,67.17,73.47,60,43,33,30,50,12,16,0.09951351351351352,672.0,1255.0
838,2020-03-16,361,14,United_Kingdom,UK,66647112.0,Europe,3.8381258,2605,43,13.0,79.05,61.47,75.75,52,31,28,24,33,22,28,0.10662162162162163,657.0,1198.0
854,2020-03-17,442,22,United_Kingdom,UK,66647112.0,Europe,4.46831064,3047,65,14.0,69.91,49.57,62.55,48,28,26,25,38,21,28,0.11372972972972974,736.0,1378.0
875,2020-03-18,611,17,United_Kingdom,UK,66647112.0,Europe,5.32506195,3658,82,15.0,66.55,43.41,56.11,46,27,24,24,35,64,39,0.12083783783783784,756.0,2338.0
894,2020-03-19,769,34,United_Kingdom,UK,66647112.0,Europe,6.39637619,4427,116,16.0,67.07,41.52,54.04,46,25,22,28,35,77,42,0.12794594594594597,599.0,2375.0
919,2020-03-20,999,46,United_Kingdom,UK,66647112.0,Europe,7.81129121,5426,162,17.0,68.81,37.97,58.17,56,41,31,32,44,67,55,0.13505405405405407,567.0,2692.0
929,2020-03-21,1055,32,United_Kingdom,UK,66647112.0,Europe,9.31773308,6481,194,18.0,56.73,30.08,52.54,59,38,27,32,65,55,69,0.14216216216216218,1105.0,3087.0
941,2020-03-22,1255,58,United_Kingdom,UK,66647112.0,Europe,11.07924977,7736,252,19.0,46.81,28.1,42.16,55,25,20,37,65,77,97,0.1492702702702703,1030.0,3197.0
969,2020-03-23,1198,36,United_Kingdom,UK,66647112.0,Europe,12.78675061,8934,288,20.0,52.26,27.42,45.89,46,17,14,25,65,100,100,0.1563783783783784,1116.0,2822.0
973,2020-03-24,1378,76,United_Kingdom,UK,66647112.0,Europe,14.76883199,10312,364,21.0,38.31,19.49,37.23,45,13,13,26,77,65,96,0.1634864864864865,1122.0,2858.0
992,2020-03-25,2338,148,United_Kingdom,UK,66647112.0,Europe,18.05479583,12650,512,22.0,36.16,17.87,38.72,46,12,13,30,73,49,87,0.1705945945945946,843.0,4273.0
1017,2020-03-26,2375,191,United_Kingdom,UK,66647112.0,Europe,21.2297271,15025,703,23.0,35.19,16.97,38.3,47,13,12,33,71,39,80,0.17770270270270272,657.0,4514.0
1038,2020-03-27,2692,181,United_Kingdom,UK,66647112.0,Europe,24.65973319,17717,884,24.0,36.93,16.56,40.83,50,13,16,30,73,28,59,0.18481081081081083,724.0,4913.0
1048,2020-03-28,3087,288,United_Kingdom,UK,66647112.0,Europe,28.5653788,20804,1172,25.0,29.6,15.38,37.43,56,13,17,43,82,22,83,0.19191891891891893,1076.0,4868.0
1073,2020-03-29,3197,292,United_Kingdom,UK,66647112.0,Europe,32.64507545,24001,1464,26.0,24.72,15.34,29.62,54,15,14,47,84,25,80,0.19902702702702704,880.0,4911.0
1090,2020-03-30,2822,212,United_Kingdom,UK,66647112.0,Europe,36.33765856,26823,1676,27.0,32.8,16.85,34.55,48,14,14,34,68,34,72,0.20613513513513515,1036.0,4020.0
1098,2020-03-31,2858,374,United_Kingdom,UK,66647112.0,Europe,39.96272187,29681,2050,28.0,34.38,16.4,38.69,52,12,15,36,71,30,69,0.21324324324324326,913.0,3592.0
1115,2020-04-01,4273,403,United_Kingdom,UK,66647112.0,Europe,45.45733355,33954,2453,29.0,34.1,16.0,38.16,52,12,18,43,74,23,65,0.22035135135135137,1105.0,5282.0
1140,2020-04-02,4514,672,United_Kingdom,UK,66647112.0,Europe,51.07648175,38468,3125,30.0,34.25,15.91,38.45,50,12,14,43,79,23,65,0.22745945945945947,432.0,5450.0
1144,2020-04-03,4913,657,United_Kingdom,UK,66647112.0,Europe,56.94920434,43381,3782,31.0,37.6,15.53,42.67,58,13,17,43,78,19,58,0.23456756756756758,570.0,5131.0
