,dateRep,cases,deaths,countriesAndTerritories,popData2019,continentExp,Cumulative_number_for_14_days_of_COVID-19_cases_per_100000,Cum_Cases,Cum_Deaths,flag,driving,transit,walking,DIY,Cafe,online_lesson,Bar,Home_Workout,Sewing,Restaurant,deaths18
16,2020-01-14,0,0,Rest_of_World,270625567.0,Asia,0.0,0,0,0.0,100.95,63.98235564853551,100.61,62.0,65.0,36.0,54.0,10.0,50.0,82.0,0.0
17,2020-01-14,0,0,Europe,17282163.0,Europe,0.0,0,0,0.0,103.22,100.13,101.71,53.0,70.0,4.0,94.0,5.0,63.0,73.0,0.0
18,2020-01-14,0,0,Rest_of_World,127575529.0,America,0.0,0,0,0.0,100.53,100.05,102.15,54.0,87.0,11.0,91.0,8.0,73.0,73.0,0.0
19,2020-01-14,0,0,Rest_of_World,211049519.0,America,0.0,0,0,0.0,99.71,102.45,106.3,73.0,72.0,13.0,85.0,20.0,42.0,81.0,0.0
20,2020-01-14,0,0,United_Kingdom,66647112.0,Europe,0.0,0,0,0.0,104.86,104.2,106.14,42.0,57.0,17.0,70.0,10.0,37.0,54.0,0.0
21,2020-01-14,0,0,Europe,60359546.0,Europe,0.0,0,0,0.0,102.63,100.82,102.1,66.0,78.0,55.0,70.0,7.0,50.0,24.0,0.0
22,2020-01-14,0,0,Rest_of_World,1366417756.0,Asia,0.0,0,0,0.0,102.35,63.98235564853551,99.18,51.0,75.0,27.0,59.0,12.0,59.0,70.0,0.0
23,2020-01-14,0,0,Rest_of_World,329064917.0,America,0.0,0,0,0.0,102.97,97.77,99.59,48.0,89.0,25.0,92.0,17.0,26.0,93.0,0.0
24,2020-01-14,0,0,Europe,83019213.0,Europe,0.0,0,0,0.0,101.31,102.85,104.04,56.0,57.0,3.0,35.0,8.0,11.0,56.0,0.0
25,2020-01-14,0,0,Rest_of_World,145872260.0,Europe,0.0,0,0,0.0,101.13,63.98235564853551,103.91,74.0,81.0,52.0,65.0,0.0,52.0,70.0,0.0
26,2020-01-14,0,0,Europe,46937060.0,Europe,0.0,0,0,0.0,101.06,98.32,98.35,51.0,90.0,30.0,71.0,7.0,50.0,57.0,0.0
27,2020-01-14,0,0,Europe,11455519.0,Europe,0.0,0,0,0.0,101.19,98.67,101.46,52.0,87.0,21.0,83.0,9.0,36.0,75.0,0.0
28,2020-01-15,0,0,Rest_of_World,127575529.0,America,0.0,0,0,0.0,102.35,100.15,105.42,54.0,87.0,11.0,91.0,8.0,73.0,73.0,0.0
29,2020-01-15,0,0,Europe,60359546.0,Europe,0.0,0,0,0.0,105.41,100.4,104.86,66.0,78.0,55.0,70.0,7.0,50.0,24.0,0.0
30,2020-01-15,0,0,Europe,17282163.0,Europe,0.0,0,0,0.0,103.86,101.53,104.92,53.0,70.0,4.0,94.0,5.0,63.0,73.0,0.0
31,2020-01-15,0,0,Europe,83019213.0,Europe,0.0,0,0,0.0,102.82,102.41,107.18,56.0,59.0,3.0,39.0,9.0,11.0,56.0,0.0
32,2020-01-15,0,0,Rest_of_World,37411038.0,America,0.0,0,0,0.0,99.74,98.01,106.65,50.0,83.0,17.0,90.0,13.0,39.0,75.0,0.0
33,2020-01-15,0,0,Europe,67012883.0,Europe,0.0,0,0,0.0,104.67,102.48,108.49,46.0,60.0,23.0,55.0,0.0,40.0,44.0,0.0
34,2020-01-15,0,0,Rest_of_World,329064917.0,America,0.0,0,0,0.0,105.19,98.84,101.87,48.0,89.0,25.0,92.0,17.0,26.0,93.0,0.0
35,2020-01-15,0,0,Rest_of_World,211049519.0,America,0.0,0,0,0.0,100.9,104.28,104.75,73.0,72.0,13.0,85.0,20.0,42.0,81.0,0.0
36,2020-01-15,0,0,Rest_of_World,1366417756.0,Asia,0.0,0,0,0.0,107.96,63.98235564853551,104.08,51.0,75.0,27.0,59.0,12.0,59.0,70.0,0.0
